drop_fraction,repeat,cp_f1,cp_count,cp_times,sample_id,cluster
0.1,14,1.0,1,[91.45530756378311],S0014,1
0.1,15,1.0,1,[81.29360672336276],S0014,1
0.1,16,1.0,1,[91.45530756378311],S0014,1
0.1,17,1.0,1,[91.45530756378311],S0014,1
0.1,18,1.0,1,[91.45530756378311],S0014,1
0.1,19,1.0,1,[91.45530756378311],S0014,1
0.1,20,1.0,1,[101.61700840420349],S0014,1
0.1,21,1.0,1,[81.29360672336276],S0014,1
0.1,22,1.0,1,[91.45530756378311],S0014,1
0.1,23,1.0,1,[91.45530756378311],S0014,1
0.1,24,1.0,1,[91.45530756378311],S0014,1
0.1,25,1.0,1,[91.45530756378311],S0014,1
0.1,26,1.0,1,[91.45530756378311],S0014,1
0.1,27,1.0,1,[91.45530756378311],S0014,1
0.1,28,1.0,1,[91.45530756378311],S0014,1
0.1,29,1.0,1,[91.45530756378311],S0014,1
0.1,30,1.0,1,[101.61700840420349],S0014,1
0.1,31,1.0,1,[91.45530756378311],S0014,1
0.1,32,1.0,1,[91.45530756378311],S0014,1
0.1,33,1.0,1,[91.45530756378311],S0014,1
0.1,34,1.0,1,[101.61700840420349],S0014,1
0.1,35,1.0,1,[101.61700840420349],S0014,1
0.1,36,1.0,1,[81.29360672336276],S0014,1
0.1,37,1.0,1,[91.45530756378311],S0014,1
0.1,38,1.0,1,[71.13190588294242],S0014,1
0.1,39,1.0,1,[91.45530756378311],S0014,1
0.1,40,1.0,1,[91.45530756378311],S0014,1
0.1,41,1.0,1,[81.29360672336276],S0014,1
0.1,42,1.0,1,[101.61700840420349],S0014,1
0.1,43,1.0,1,[91.45530756378311],S0014,1
0.1,44,1.0,1,[101.61700840420349],S0014,1
0.1,45,1.0,1,[91.45530756378311],S0014,1
0.1,46,1.0,1,[91.45530756378311],S0014,1
0.1,47,1.0,1,[101.61700840420349],S0014,1
0.1,48,1.0,1,[101.61700840420349],S0014,1
0.1,49,1.0,1,[91.45530756378311],S0014,1
0.05,0,0.0,1,[100.96601192844808],S0015,1
0.05,1,0.0,1,[100.96601192844808],S0015,1
0.05,2,1.0,1,[112.8443662729714],S0015,1
0.05,3,1.0,1,[112.8443662729714],S0015,1
0.05,4,1.0,1,[112.8443662729714],S0015,1
0.05,5,1.0,1,[112.8443662729714],S0015,1
0.05,6,1.0,1,[112.8443662729714],S0015,1
0.05,7,1.0,1,[106.90518910070975],S0015,1
0.05,8,1.0,1,[112.8443662729714],S0015,1
0.05,9,1.0,1,[112.8443662729714],S0015,1
0.05,10,1.0,1,[112.8443662729714],S0015,1
0.05,11,1.0,1,[112.8443662729714],S0015,1
0.05,12,0.0,1,[95.02683475618642],S0015,1
0.05,13,1.0,1,[112.8443662729714],S0015,1
0.05,14,1.0,1,[106.90518910070975],S0015,1
0.05,15,1.0,1,[112.8443662729714],S0015,1
0.05,16,1.0,1,[118.78354344523302],S0015,1
0.05,17,1.0,1,[112.8443662729714],S0015,1
0.05,18,1.0,1,[112.8443662729714],S0015,1
0.05,19,1.0,1,[112.8443662729714],S0015,1
0.05,20,1.0,1,[112.8443662729714],S0015,1
0.05,21,1.0,1,[112.8443662729714],S0015,1
0.05,22,1.0,1,[112.8443662729714],S0015,1
0.05,23,1.0,1,[112.8443662729714],S0015,1
0.05,24,1.0,1,[112.8443662729714],S0015,1
0.05,25,1.0,1,[106.90518910070975],S0015,1
0.05,26,1.0,1,[112.8443662729714],S0015,1
0.05,27,1.0,1,[112.8443662729714],S0015,1
0.05,28,1.0,1,[112.8443662729714],S0015,1
0.05,29,0.0,1,[100.96601192844808],S0015,1
0.05,30,0.0,1,[95.02683475618642],S0015,1
0.05,31,1.0,1,[112.8443662729714],S0015,1
0.05,32,0.0,1,[100.96601192844808],S0015,1
0.05,33,1.0,1,[112.8443662729714],S0015,1
0.05,34,1.0,1,[112.8443662729714],S0015,1
0.05,35,1.0,1,[112.8443662729714],S0015,1
0.05,36,1.0,1,[112.8443662729714],S0015,1
0.05,37,1.0,1,[112.8443662729714],S0015,1
0.05,38,1.0,1,[112.8443662729714],S0015,1
0.05,39,1.0,1,[112.8443662729714],S0015,1
0.05,40,1.0,1,[112.8443662729714],S0015,1
0.05,41,1.0,1,[112.8443662729714],S0015,1
0.05,42,0.0,1,[100.96601192844808],S0015,1
0.05,43,1.0,1,[112.8443662729714],S0015,1
0.05,44,1.0,1,[112.8443662729714],S0015,1
0.05,45,0.0,1,[100.96601192844808],S0015,1
0.05,46,1.0,1,[112.8443662729714],S0015,1
0.05,47,1.0,1,[112.8443662729714],S0015,1
0.05,48,1.0,1,[112.8443662729714],S0015,1
0.05,49,0.0,1,[100.96601192844808],S0015,1
0.1,0,0.0,1,[100.96601192844808],S0015,1
0.1,1,1.0,1,[118.78354344523302],S0015,1
0.1,2,1.0,1,[112.8443662729714],S0015,1
0.1,3,0.0,1,[100.96601192844808],S0015,1
0.1,4,0.0,1,[100.96601192844808],S0015,1
0.1,5,1.0,1,[112.8443662729714],S0015,1
0.1,6,1.0,1,[112.8443662729714],S0015,1
0.1,7,1.0,1,[112.8443662729714],S0015,1
0.1,8,0.0,1,[100.96601192844808],S0015,1
0.1,9,0.0,1,[100.96601192844808],S0015,1
0.1,10,1.0,1,[112.8443662729714],S0015,1
0.1,11,1.0,1,[112.8443662729714],S0015,1
