k,sigma,seed,qe_elastic,occupied,silhouette_elastic,method,assigned_l2_centroid_error,silhouette_l2
4,0.5,47,0.03232042068293085,4,0.11208473494221256,dtw_0,0.13903059859480718,0.17091899781365433
4,0.5,71,0.03466440186123323,4,0.049562697094730955,dtw_0,0.13227233582600237,0.13889716050413903
4,0.5,101,0.03352793628481918,4,0.09342429707983278,dtw_0,0.14692193077678062,0.12263527744697511
5,0.5,11,0.02986520301693149,5,0.13641721152539196,dtw_0,0.13840571193462797,0.18198399049990685
5,0.5,29,0.03237429002391984,5,0.11641034842380696,dtw_0,0.1401704366460462,0.07766499465980747
5,0.5,47,0.030737770075429487,5,0.14702138294121278,dtw_0,0.13731768791677132,0.1245458923635489
5,0.5,71,0.03252346705729585,5,-0.005621576394494744,dtw_0,0.1327375180710283,0.09572078454313139
5,0.5,101,0.03174372166678612,5,0.12605798670396418,dtw_0,0.14091048018836916,0.11171081264854406
6,0.5,11,0.03186256229729744,6,0.05007468165032658,dtw_0,0.13949962973115773,0.08057056841198003
6,0.5,29,0.032492229717644115,6,0.04256172263826874,dtw_0,0.13905764215483368,-0.002374891421398696
6,0.5,47,0.030958510604709798,6,0.11278299236010982,dtw_0,0.13591820429602045,0.059551074322990935
6,0.5,71,0.03270615853970546,6,-0.05864981374532522,dtw_0,0.13219851103767308,0.044319824306348524
6,0.5,101,0.031771493407710856,6,0.05732573956510715,dtw_0,0.13911423562858322,0.06606495930029815
7,0.5,11,0.02940362571123927,7,0.006560906568351798,dtw_0,0.13104225452771626,0.05174718327101788
7,0.5,29,0.030392367326658377,7,0.05712072057994546,dtw_0,0.13486795600082518,0.048487034917570844
7,0.5,47,0.02927055632338491,7,0.16309356330843594,dtw_0,0.12982930495788686,0.03980038028584512
7,0.5,71,0.029886748937002664,7,0.007335144499188606,dtw_0,0.1301119355056756,0.021547354938825255
7,0.5,101,0.03114726637510343,7,0.09777597161969363,dtw_0,0.13675349000169995,0.05605281191861
8,0.5,11,0.028811005200806695,8,0.06522159585922521,dtw_0,0.13067238945838835,-0.04886409370823357
8,0.5,29,0.029121768530231757,8,-0.012983499929071858,dtw_0,0.12799125362164024,-0.008998710875779053
8,0.5,47,0.03026406788839645,8,-0.060797035823286674,dtw_0,0.12507233250044084,0.008957340404799454
8,0.5,71,0.028901406400607357,8,0.021645465899568245,dtw_0,0.12719315187083288,0.01775170634818562
8,0.5,101,0.030202512326690557,8,-0.014094327694817048,dtw_0,0.13143252618557294,-0.003761482433949005
9,0.5,11,0.028982549318795316,9,0.02520452599034436,dtw_0,0.12811511487979196,0.03987640714928967
9,0.5,29,0.03104641965362046,9,-0.12273096321672622,dtw_0,0.12415906994554969,-0.04734706288643637
9,0.5,47,0.030116554245801504,9,0.12366308343789216,dtw_0,0.1320896230351125,0.051532952658563135
9,0.5,71,0.028626789774557737,9,-0.04462876398284903,dtw_0,0.1223854027566392,0.02867636736192335
9,0.5,101,0.029564325969785234,9,0.02787776456064258,dtw_0,0.12639781626582028,0.030868951372325835
10,0.5,11,0.02873148863574816,10,0.06909248942803721,dtw_0,0.1262602108546334,-0.02567808635936134
10,0.5,29,0.028779992712857035,10,-0.056510566492853895,dtw_0,0.127785931719405,-0.027124445278151138
10,0.5,47,0.027219043004836945,10,0.005259660224713581,dtw_0,0.12080022106221054,0.02454079887997601
10,0.5,71,0.02950487175874062,10,-0.07233638041697703,dtw_0,0.12732567695920297,-0.033771102015176975
10,0.5,101,0.027433399798249453,10,0.06761666689430504,dtw_0,0.12832698010171398,0.021564703352081747
11,0.5,11,0.027982129004843252,11,0.058796244420574344,dtw_0,0.12660229933394293,-0.08672746730019791
11,0.5,29,0.026950454033911404,11,0.07247088790436099,dtw_0,0.12261998358626096,-0.00858455488854206
11,0.5,47,0.02733304952286813,11,0.10007006766665402,dtw_0,0.12756857472565147,-0.08008945697283718
11,0.5,71,0.026237517265860523,11,0.043456832395636615,dtw_0,0.12085068240840592,0.03372528699298155
11,0.5,101,0.02664219866097682,11,0.06429496814981561,dtw_0,0.12053018525838582,0.020771528636696027
12,0.5,11,0.02963299218808925,12,-0.0803143039339504,dtw_0,0.12082717272432587,-0.061162023297762276
12,0.5,29,0.02652085141353947,12,-0.02071243671520098,dtw_0,0.11971628688395798,0.032840721262795906
12,0.5,47,0.028932592345607556,12,-0.10925403789361682,dtw_0,0.1217501692877419,-0.06790264736855652
12,0.5,71,0.026208978599471862,12,-0.026718893796495023,dtw_0,0.11736551995397627,-0.031571380809541104
12,0.5,101,0.026742742646056618,12,-0.01346883741515736,dtw_0,0.11865801812470089,-0.0016673219196182425
13,0.5,11,0.026243951298720987,13,0.029045895666618967,dtw_0,0.12085310352856796,-0.031400906451076106
