k,sigma,lr,seed,iterations,grid,qe,occupied,method
13,0.5,0.3,29,50000,1x13,0.3091520217689503,13,threshold_p03
13,0.5,0.3,47,50000,1x13,0.2857058196167717,13,threshold_p03
13,0.5,0.3,71,50000,1x13,0.28694812774594664,13,threshold_p03
13,0.5,0.3,101,50000,1x13,0.2874332728292548,13,threshold_p03
14,0.5,0.3,11,50000,2x7,0.2807534588980378,14,threshold_p03
14,0.5,0.3,29,50000,2x7,0.2808078548390611,14,threshold_p03
14,0.5,0.3,47,50000,2x7,0.2761300170547983,14,threshold_p03
14,0.5,0.3,71,50000,2x7,0.2879599504588577,14,threshold_p03
14,0.5,0.3,101,50000,2x7,0.27912477285618603,14,threshold_p03
15,0.5,0.3,11,50000,3x5,0.2708632995377272,15,threshold_p03
15,0.5,0.3,29,50000,3x5,0.2762802909654334,14,threshold_p03
15,0.5,0.3,47,50000,3x5,0.2578778226731363,15,threshold_p03
15,0.5,0.3,71,50000,3x5,0.2718171560756646,15,threshold_p03
15,0.5,0.3,101,50000,3x5,0.2793024441501228,14,threshold_p03
16,0.5,0.3,11,50000,4x4,0.25568512143630157,16,threshold_p03
16,0.5,0.3,29,50000,4x4,0.2582947225212769,16,threshold_p03
16,0.5,0.3,47,50000,4x4,0.2557541966233702,16,threshold_p03
16,0.5,0.3,71,50000,4x4,0.2501700173358516,16,threshold_p03
16,0.5,0.3,101,50000,4x4,0.2510286013949206,16,threshold_p03
